-456, 846, 504
-447, 200, 391
-447, 200, 391
-556, -539, 237
-713, -1010, 203
-1225, -1446, 591
-1212, -1635, 451
-1156, -1564, 383
-1109, -1398, 332
-1091, -1201, 339
-1137, -1144, 274
-1097, -852, 338
-1047, -693, 303
-,-,-
-902, -4, 106
-902, -4, 106
-986, -33, 162
-964, 84, 150
-1027, 218, 241
-1092, 317, 346
-1108, 650, 449
-1156, 1036, 649
-1019, 1394, 670
-908, 1470, 621
-857, 1363, 599
-857, 1363, 599
-805, 1092, 572
-710, 757, 498
-693, 318, 448
-719, -94, 431
-801, -685, 329
-804, -1003, 207
-998, -1150, 337
-951, -1286, 245
-902, -1298, 164
-919, -1180, 180
-1095, -1015, 333
-1002, -771, 279
-938, -565, 234
-964, -351, 289
-,-,-
-1101, 279, 373
-1101, 279, 373
-974, 308, 239
-988, 402, 239
-1039, 654, 381
-1156, 766, 541
-1058, 899, 484
-994, 1135, 522
-946, 1337, 523
-929, 1315, 498
-816, 1078, 450
-906, 554, 550
-906, 554, 550
-1006, -2, 575
-922, -391, 433
-812, -745, 239
-759, -1071, 134
-804, -1269, 158
-721, -1289, 55
-768, -1266, 77
-913, -1296, 142
-1024, -1131, 232
-1111, -960, 293
-997, -747, 182
-,-,-
-980, 94, 194
-851, -3, 85
-851, -3, 85
-933, 34, 118
-1005, 57, 197
-1033, 79, 220
-1126, 365, 340
-1205, 972, 487
-1357, 1470, 752
-1209, 1560, 661
-925, 1466, 393
-813, 1113, 297
-813, 1113, 297
-852, 757, 437
-739, 326, 365
-432, -299, -63
-438, -676, -162
-750, -813, 159
-712, -955, 86
-869, -1072, 216
-1040, -1143, 388
-1110, -1200, 383
-1221, -1142, 424
-,-,-
-972, 133, 224
-856, 145, 132
-956, 200, 222
-1086, 501, 461
-1081, 809, 590
-1091, 1089, 721
-985, 1395, 742
-989, 1421, 799
-1008, 1198, 844
-984, 831, 804
-984, 831, 804
-865, 450, 634
-715, -10, 383
-666, -483, 154
-850, -802, 167
-681, -882, -30
-501, -961, -157
-684, -1192, -11
-899, -1200, 139
-932, -1014, 201
-1023, -1018, 282
-1002, -1155, 174
-,-,-
-994, 42, 250
-975, 82, 260
-1001, 192, 322
-938, 180, 253
-890, 324, 231
-890, 324, 231
-897, 616, 313
-957, 845, 415
-954, 1130, 473
-913, 1406, 543
-895, 1503, 638
-754, 1352, 576
-618, 993, 474
-622, 585, 465
-578, 267, 398
-578, 267, 398
-634, -38, 407
-776, -416, 459
-863, -782, 398
-932, -969, 328
-1049, -1068, 363
-1056, -1119, 287
-1126, -1177, 289
-1211, -1178, 316
-1276, -1075, 359
-1220, -886, 287
